metaneighbor_cluster,metaneighbor_cluster_label,cross_species_cluster,subclass,subclass_color,within_species_clusters,number_of_clusters,present_in_species,number_of_species
glia|1,Astro_1,Astro_1,Astro,#655c47,"human|Astro_1, human|Astro_2, human|Astro_3, human|Astro_4, human|Astro_5, chimp|Astro_1, chimp|Astro_2, gorilla|Astro_1, gorilla|Astro_2, gorilla|Astro_3, gorilla|Astro_4, rhesus|Astro_1, rhesus|Astro_2, rhesus|Astro_3, marmoset|Astro_1, marmoset|Astro_2, marmoset|Astro_3, marmoset|Astro_4",18,"human, chimp, gorilla, rhesus, marmoset",5
sst_sst_chodl_pvalb|1,Chandelier_1,Chandelier_1,Chandelier,#f642a8,"human|Chandelier_1, human|Chandelier_2, chimp|Chandelier_1, chimp|Chandelier_2, gorilla|Chandelier_1, gorilla|Chandelier_2, rhesus|Chandelier_1, rhesus|Chandelier_2, marmoset|Chandelier_1",9,"human, chimp, gorilla, rhesus, marmoset",5
glia|5,Endo_1,Endo_1,Endo,#8d6c62,"human|Endo_1, chimp|Endo_1, gorilla|Endo_1, gorilla|Endo_2, rhesus|Endo_1, marmoset|Endo_1, marmoset|Endo_2, marmoset|Endo_3",8,"human, chimp, gorilla, rhesus, marmoset",5
it_types|1,L2/3 IT_1,L2/3 IT_1,L2/3 IT,#b1ec30,"human|L2/3 IT_1, human|L2/3 IT_11, human|L2/3 IT_12, human|L2/3 IT_13, human|L2/3 IT_5, chimp|L2/3 IT_3, chimp|L2/3 IT_6, chimp|L2/3 IT_7, gorilla|L2/3 IT_3, gorilla|L2/3 IT_4, rhesus|L2/3 IT_1, rhesus|L2/3 IT_11, rhesus|L2/3 IT_12, rhesus|L2/3 IT_13, rhesus|L2/3 IT_14, rhesus|L2/3 IT_16, rhesus|L2/3 IT_2, rhesus|L2/3 IT_9, marmoset|L2/3 IT_2, marmoset|L4 IT_1, marmoset|L4 IT_3",21,"human, chimp, gorilla, rhesus, marmoset",5
it_types|5,L2/3 IT_4,L2/3 IT_1,L2/3 IT,#b1ec30,"human|L2/3 IT_2, chimp|L2/3 IT_1, gorilla|L2/3 IT_2, rhesus|L2/3 IT_7",4,"human, chimp, gorilla, rhesus",4
it_types|6,L2/3 IT_5,L2/3 IT_1,L2/3 IT,#b1ec30,"human|L2/3 IT_3, human|L2/3 IT_4, chimp|L2/3 IT_5, rhesus|L2/3 IT_8, marmoset|L2/3 IT_3",5,"human, chimp, rhesus, marmoset",4
it_types|4,L2/3 IT_2,L2/3 IT_2,L2/3 IT,#b1ec30,"human|L2/3 IT_14, chimp|L2/3 IT_8, gorilla|L2/3 IT_5, gorilla|L4 IT_2, rhesus|L2/3 IT_15, marmoset|L2/3 IT_4, marmoset|L4 IT_2, marmoset|L4 IT_5",8,"human, chimp, gorilla, rhesus, marmoset",5
it_types|7,L2/3 IT_3,L2/3 IT_3,L2/3 IT,#b1ec30,"human|L2/3 IT_10, human|L2/3 IT_6, human|L2/3 IT_7, human|L2/3 IT_8, human|L2/3 IT_9, chimp|L2/3 IT_2, chimp|L2/3 IT_4, gorilla|L2/3 IT_1, rhesus|L2/3 IT_10, rhesus|L2/3 IT_3, rhesus|L2/3 IT_4, rhesus|L2/3 IT_5, rhesus|L2/3 IT_6, marmoset|L2/3 IT_1",14,"human, chimp, gorilla, rhesus, marmoset",5
it_types|9,L4 IT_1,L4 IT_1,L4 IT,#00e5e5,"human|L4 IT_1, chimp|L4 IT_3, gorilla|L4 IT_1, rhesus|L4 IT_2, marmoset|L4 IT_4",5,"human, chimp, gorilla, rhesus, marmoset",5
it_types|11,L4 IT_3,L4 IT_1,L4 IT,#00e5e5,"human|L4 IT_3, chimp|L4 IT_2, gorilla|L4 IT_4",3,"human, chimp, gorilla",3
it_types|10,L4 IT_2,L4 IT_2,L4 IT,#00e5e5,"human|L4 IT_2, chimp|L4 IT_1, gorilla|L4 IT_3, rhesus|L4 IT_1, marmoset|L4 IT_6",5,"human, chimp, gorilla, rhesus, marmoset",5
l5et_l56np_l6ct_l6b|1,L5 ET_1,L5 ET_1,L5 ET,#0e5b78,"human|L5 ET_1, chimp|L5 ET_1, gorilla|L5 ET_1, gorilla|L5 ET_2, rhesus|L5 ET_2, marmoset|L5 ET_1",6,"human, chimp, gorilla, rhesus, marmoset",5
l5et_l56np_l6ct_l6b|2,L5 ET_2,L5 ET_2,L5 ET,#0e5b78,"human|L5 ET_2, chimp|L5 ET_2, gorilla|L5 ET_3, gorilla|L5 ET_4, rhesus|L5 ET_1, marmoset|L5 ET_2",6,"human, chimp, gorilla, rhesus, marmoset",5
it_types|12,L5 IT_1,L5 IT_1,L5 IT,#50b2ad,"human|L5 IT_1, human|L5 IT_3, chimp|L5 IT_1, chimp|L5 IT_2, gorilla|L5 IT_3, rhesus|L5 IT_2, marmoset|L5 IT_3",7,"human, chimp, gorilla, rhesus, marmoset",5
it_types|13,L5 IT_2,L5 IT_2,L5 IT,#50b2ad,"human|L5 IT_2, human|L5 IT_4, human|L5 IT_5, human|L5 IT_6, chimp|L5 IT_3, chimp|L5 IT_4, gorilla|L5 IT_1, gorilla|L5 IT_2, rhesus|L5 IT_1, rhesus|L5 IT_3, rhesus|L5 IT_4, marmoset|L5 IT_2",12,"human, chimp, gorilla, rhesus, marmoset",5
it_types|15,L5 IT_3,L5 IT_2,L5 IT,#50b2ad,"human|L5 IT_7, marmoset|L5 IT_1",2,"human, marmoset",2
l5et_l56np_l6ct_l6b|3,L5/6 NP_1,L5/6 NP_1,L5/6 NP,#3e9e64,"human|L5/6 NP_1, human|L5/6 NP_3, human|L5/6 NP_4, human|L5/6 NP_5, human|L5/6 NP_6, chimp|L5/6 NP_2, gorilla|L5/6 NP_2, gorilla|L5/6 NP_3, gorilla|L5/6 NP_4, rhesus|L5/6 NP_2, rhesus|L5/6 NP_3, rhesus|L5/6 NP_4, rhesus|L5/6 NP_5, rhesus|L5/6 NP_6, rhesus|L5/6 NP_7, rhesus|L5/6 NP_8, marmoset|L5/6 NP_1",17,"human, chimp, gorilla, rhesus, marmoset",5
l5et_l56np_l6ct_l6b|4,L5/6 NP_2,L5/6 NP_2,L5/6 NP,#3e9e64,"human|L5/6 NP_2, chimp|L5/6 NP_1, gorilla|L5/6 NP_1, rhesus|L5/6 NP_1, marmoset|L5/6 NP_2",5,"human, chimp, gorilla, rhesus, marmoset",5
