"study";"cell_cluster"
"macosko_wba";"Inh_Lamp5_Ndnf_Prom1"
"macosko_wba";"Inh_Lhx6_Arhgap28_1"
"macosko_wba";"Inh_Lhx6_Crhbp_3"
"macosko_wba";"Inh_Lhx6_Lamp5_Hcrtr2"
"macosko_wba";"Inh_Lhx6_Pvalb_Tac1"
"macosko_wba";"Inh_Lhx6_Sst_Crh_Tac2"
"macosko_wba";"Inh_Lhx6_Sst_Crhr2_Fillip1"
"macosko_wba";"Inh_Lhx6_Sst_Crhr2_Stac"
"macosko_wba";"Inh_Lhx6_Sst_Etv1_Pdyn"
"macosko_wba";"Inh_Lhx6_Sst_Hpse"
"macosko_wba";"Inh_Lhx6_Sst_Myh13"
"macosko_wba";"Inh_Lhx6_Sst_Th_Ephb1"
"macosko_wba";"Inh_Lhx6_Vipr2"
"macosko_wba";"Inh_Sncg_Slc17a8"
"macosko_wba";"Inh_Sncg_Sln_Npy"
"macosko_wba";"Inh_Sp8_Abcb5_Krt73"
"macosko_wba";"Inh_Vip_Crh_1"
"macosko_wba";"Inh_Vip_Glp1r_Kcnh5"
"macosko_wba";"Inh_Vip_Grpr"
"macosko_wba";"Inh_Vip_Sncg_Yjefn3"
