"gene","GOID","Term"
"CALM1","GO:0034705","potassium channel complex"
"CALM3","GO:0034705","potassium channel complex"
"DLG2","GO:0034705","potassium channel complex"
"DLG4","GO:0034705","potassium channel complex"
"DPP6","GO:0034705","potassium channel complex"
"CTTN","GO:0034705","potassium channel complex"
"GRIK1","GO:0034705","potassium channel complex"
"GRIK2","GO:0034705","potassium channel complex"
"GRIK3","GO:0034705","potassium channel complex"
"GRIK4","GO:0034705","potassium channel complex"
"GRIK5","GO:0034705","potassium channel complex"
"KCNA1","GO:0034705","potassium channel complex"
"KCNA2","GO:0034705","potassium channel complex"
"KCNA3","GO:0034705","potassium channel complex"
"KCNB1","GO:0034705","potassium channel complex"
"KCNC1","GO:0034705","potassium channel complex"
"KCNC2","GO:0034705","potassium channel complex"
"KCNC3","GO:0034705","potassium channel complex"
"KCNC4","GO:0034705","potassium channel complex"
"KCND1","GO:0034705","potassium channel complex"
"KCND2","GO:0034705","potassium channel complex"
"KCND3","GO:0034705","potassium channel complex"
"KCNG1","GO:0034705","potassium channel complex"
"KCNH1","GO:0034705","potassium channel complex"
"KCNH2","GO:0034705","potassium channel complex"
"KCNJ2","GO:0034705","potassium channel complex"
"KCNJ3","GO:0034705","potassium channel complex"
"KCNJ4","GO:0034705","potassium channel complex"
"KCNJ5","GO:0034705","potassium channel complex"
"KCNJ6","GO:0034705","potassium channel complex"
"KCNJ14","GO:0034705","potassium channel complex"
"KCNJ16","GO:0034705","potassium channel complex"
"KCNK1","GO:0034705","potassium channel complex"
"KCNK2","GO:0034705","potassium channel complex"
"KCNMA1","GO:0034705","potassium channel complex"
"KCNMB1","GO:0034705","potassium channel complex"
"KCNN1","GO:0034705","potassium channel complex"
"KCNN4","GO:0034705","potassium channel complex"
"KCNQ1","GO:0034705","potassium channel complex"
"KCNQ3","GO:0034705","potassium channel complex"
"KCNS1","GO:0034705","potassium channel complex"
"KCNS2","GO:0034705","potassium channel complex"
"KCNS3","GO:0034705","potassium channel complex"
"SNAP25","GO:0034705","potassium channel complex"
"ABCC8","GO:0034705","potassium channel complex"
"KCNAB1","GO:0034705","potassium channel complex"
"KCNAB2","GO:0034705","potassium channel complex"
"KCNQ4","GO:0034705","potassium channel complex"
"KCNAB3","GO:0034705","potassium channel complex"
"KCNK6","GO:0034705","potassium channel complex"
"KCNE3","GO:0034705","potassium channel complex"
"HCN4","GO:0034705","potassium channel complex"
"KCNMB2","GO:0034705","potassium channel complex"
"ABCB8","GO:0034705","potassium channel complex"
"KCNH4","GO:0034705","potassium channel complex"
"KCNE4","GO:0034705","potassium channel complex"
"CNTNAP2","GO:0034705","potassium channel complex"
"KCNV1","GO:0034705","potassium channel complex"
"KCNMB3","GO:0034705","potassium channel complex"
"KCNH5","GO:0034705","potassium channel complex"
"KCNMB4","GO:0034705","potassium channel complex"
"KCNIP3","GO:0034705","potassium channel complex"
"KCNIP2","GO:0034705","potassium channel complex"
"KCNIP1","GO:0034705","potassium channel complex"
"KCNQ5","GO:0034705","potassium channel complex"
"AMIGO1","GO:0034705","potassium channel complex"
"DPP10","GO:0034705","potassium channel complex"
"HCN3","GO:0034705","potassium channel complex"
"CCDC51","GO:0034705","potassium channel complex"
"KCNIP4","GO:0034705","potassium channel complex"
"KCNG4","GO:0034705","potassium channel complex"
"LRRC38","GO:0034705","potassium channel complex"
"KCNV2","GO:0034705","potassium channel complex"
"KCNG3","GO:0034705","potassium channel complex"
"LRRC55","GO:0034705","potassium channel complex"
"HCN1","GO:0034705","potassium channel complex"
"LRRC26","GO:0034705","potassium channel complex"
"LRRC52","GO:0034705","potassium channel complex"
"CALM1","GO:0008076","voltage-gated potassium channel complex"
"CALM3","GO:0008076","voltage-gated potassium channel complex"
"DLG2","GO:0008076","voltage-gated potassium channel complex"
"DLG4","GO:0008076","voltage-gated potassium channel complex"
"DPP6","GO:0008076","voltage-gated potassium channel complex"
"CTTN","GO:0008076","voltage-gated potassium channel complex"
"KCNA1","GO:0008076","voltage-gated potassium channel complex"
"KCNA2","GO:0008076","voltage-gated potassium channel complex"
"KCNA3","GO:0008076","voltage-gated potassium channel complex"
"KCNB1","GO:0008076","voltage-gated potassium channel complex"
"KCNC1","GO:0008076","voltage-gated potassium channel complex"
"KCNC2","GO:0008076","voltage-gated potassium channel complex"
"KCNC3","GO:0008076","voltage-gated potassium channel complex"
"KCNC4","GO:0008076","voltage-gated potassium channel complex"
"KCND1","GO:0008076","voltage-gated potassium channel complex"
"KCND2","GO:0008076","voltage-gated potassium channel complex"
"KCND3","GO:0008076","voltage-gated potassium channel complex"
"KCNG1","GO:0008076","voltage-gated potassium channel complex"
"KCNH1","GO:0008076","voltage-gated potassium channel complex"
"KCNH2","GO:0008076","voltage-gated potassium channel complex"
"KCNJ2","GO:0008076","voltage-gated potassium channel complex"
"KCNJ3","GO:0008076","voltage-gated potassium channel complex"
"KCNJ4","GO:0008076","voltage-gated potassium channel complex"
"KCNJ5","GO:0008076","voltage-gated potassium channel complex"
"KCNJ6","GO:0008076","voltage-gated potassium channel complex"
"KCNJ14","GO:0008076","voltage-gated potassium channel complex"
"KCNJ16","GO:0008076","voltage-gated potassium channel complex"
"KCNK1","GO:0008076","voltage-gated potassium channel complex"
"KCNK2","GO:0008076","voltage-gated potassium channel complex"
"KCNMA1","GO:0008076","voltage-gated potassium channel complex"
"KCNMB1","GO:0008076","voltage-gated potassium channel complex"
"KCNN1","GO:0008076","voltage-gated potassium channel complex"
"KCNN4","GO:0008076","voltage-gated potassium channel complex"
"KCNQ1","GO:0008076","voltage-gated potassium channel complex"
"KCNQ3","GO:0008076","voltage-gated potassium channel complex"
"KCNS1","GO:0008076","voltage-gated potassium channel complex"
"KCNS2","GO:0008076","voltage-gated potassium channel complex"
"KCNS3","GO:0008076","voltage-gated potassium channel complex"
"SNAP25","GO:0008076","voltage-gated potassium channel complex"
"KCNAB1","GO:0008076","voltage-gated potassium channel complex"
"KCNAB2","GO:0008076","voltage-gated potassium channel complex"
"KCNQ4","GO:0008076","voltage-gated potassium channel complex"
"KCNAB3","GO:0008076","voltage-gated potassium channel complex"
"KCNK6","GO:0008076","voltage-gated potassium channel complex"
"KCNE3","GO:0008076","voltage-gated potassium channel complex"
"HCN4","GO:0008076","voltage-gated potassium channel complex"
"KCNMB2","GO:0008076","voltage-gated potassium channel complex"
"KCNH4","GO:0008076","voltage-gated potassium channel complex"
"KCNE4","GO:0008076","voltage-gated potassium channel complex"
"CNTNAP2","GO:0008076","voltage-gated potassium channel complex"
"KCNV1","GO:0008076","voltage-gated potassium channel complex"
"KCNMB3","GO:0008076","voltage-gated potassium channel complex"
"KCNH5","GO:0008076","voltage-gated potassium channel complex"
"KCNMB4","GO:0008076","voltage-gated potassium channel complex"
"KCNIP3","GO:0008076","voltage-gated potassium channel complex"
"KCNIP2","GO:0008076","voltage-gated potassium channel complex"
"KCNIP1","GO:0008076","voltage-gated potassium channel complex"
"KCNQ5","GO:0008076","voltage-gated potassium channel complex"
"AMIGO1","GO:0008076","voltage-gated potassium channel complex"
"DPP10","GO:0008076","voltage-gated potassium channel complex"
"HCN3","GO:0008076","voltage-gated potassium channel complex"
"KCNIP4","GO:0008076","voltage-gated potassium channel complex"
"KCNG4","GO:0008076","voltage-gated potassium channel complex"
"LRRC38","GO:0008076","voltage-gated potassium channel complex"
"KCNV2","GO:0008076","voltage-gated potassium channel complex"
"KCNG3","GO:0008076","voltage-gated potassium channel complex"
"LRRC55","GO:0008076","voltage-gated potassium channel complex"
"HCN1","GO:0008076","voltage-gated potassium channel complex"
"LRRC26","GO:0008076","voltage-gated potassium channel complex"
"LRRC52","GO:0008076","voltage-gated potassium channel complex"
"GRIK1","GO:0034706","sodium channel complex"
"GRIK2","GO:0034706","sodium channel complex"
