"","conservation","cluster","gene","human_AUC","marmoset_AUC","mouse_AUC","human_power","marmoset_power","mouse_power","human_avg.1","human_avg.2","marmoset_avg.1","marmoset_avg.2","mouse_avg.1","mouse_avg.2","human_prop.1","human_prop.2","marmoset_prop.1","marmoset_prop.2","mouse_prop.1","mouse_prop.2"
"PPARGC1A","human_marmoset_mouse","Pvalb","PPARGC1A",0.959,0.894,0.85,0.918,0.788,0.7,3.90842332588965,2.08826962326798,3.29240787555804,1.9750648011431,1.39705788445161,0.488200321154192,1,0.918823529411765,0.99883855981417,0.897682119205298,0.932448733413752,0.465828750981932
"FGF12","human_marmoset_mouse","Pvalb","FGF12",0.94,0.875,0.89,0.88,0.75,0.78,3.94027406864083,3.10162885647819,3.27714170044628,2.59658966391546,3.71248313876658,2.77708898494432,1,0.999764705882353,0.99883855981417,0.998344370860927,1,0.991830322073841
"ADAMTS17","human","Pvalb","ADAMTS17",0.902,NA,NA,0.804,NA,NA,2.19144937892345,0.576255104308054,0.290338931956769,0.0866051258466473,0.841519613010601,0.753609514174016,0.95380092398152,0.429411764705882,0.322880371660859,0.106953642384106,0.732810615199035,0.557894736842105
"SLIT2","human_marmoset_mouse","Pvalb","SLIT2",0.894,0.805,0.937,0.788,0.61,0.874,2.94736595218791,0.98275274059331,1.78432350897447,0.705203467798812,1.9633563625836,0.150453747400255,0.98740025199496,0.516588235294118,0.947154471544715,0.447350993377483,0.918576598311218,0.135428122545169
"DLGAP2","human_marmoset_mouse","Pvalb","DLGAP2",0.89,0.804,0.808,0.78,0.608,0.616,2.60703078841887,1.55025860740962,2.18781215372002,1.40454204238896,3.28940102329907,2.45601651965417,0.999580008399832,0.916470588235294,0.991289198606272,0.884933774834437,1,0.989787902592302
"FAM19A2","human_marmoset_mouse","Pvalb","FAM19A2",0.88,0.919,0.816,0.76,0.838,0.632,3.09276478619938,1.60976814943046,2.91304305930164,1.23689535415771,2.30279062169564,0.979840143397435,0.99790004199916,0.780235294117647,0.994192799070848,0.736920529801324,0.940892641737033,0.55490966221524
"TENM1","human","Pvalb","TENM1",0.868,NA,NA,0.736,NA,NA,2.57983868126886,1.27313002692003,0.576774722399826,0.251569159153219,1.96122201027446,1.76594495007151,0.997060058798824,0.770941176470588,0.576655052264808,0.266059602649007,0.899276236429433,0.928043990573449
"SPARCL1","human_marmoset_mouse","Pvalb","SPARCL1",0.866,0.839,0.775,0.732,0.678,0.55,2.54708722736013,1.10242488027168,1.46554270551438,0.520610738773361,1.62747449591304,0.904932999047844,0.99370012599748,0.645882352941176,0.910569105691057,0.487086092715232,0.960193003618818,0.720974076983504
"BTBD11","human_marmoset_mouse","Pvalb","BTBD11",0.865,0.854,0.779,0.73,0.708,0.558,2.07111341268334,0.913159030481382,1.82458647779617,0.672279947703886,1.99584849892389,1.09770889493054,0.979420411591768,0.679294117647059,0.957026713124274,0.528807947019868,0.913148371531966,0.75553809897879
"PLCXD3","human_mouse","Pvalb","PLCXD3",0.861,NA,0.899,0.722,NA,0.798,1.75715705487208,0.465771764831197,0.671979351918718,0.48161840469117,1.5861739829724,0.260106130639137,0.910541789164217,0.339058823529412,0.5534262485482,0.360927152317881,0.910132689987937,0.234564021995287
"TMEM132C","human_marmoset_mouse","Pvalb","TMEM132C",0.857,0.806,0.805,0.714,0.612,0.61,1.87535632500834,0.566894642825793,0.844134019451083,0.11602115305804,1.13743984216768,0.247718475460205,0.910961780764385,0.441529411764706,0.708478513356562,0.119039735099338,0.768395657418577,0.208798114689709
"SLC9A9","human","Pvalb","SLC9A9",0.854,NA,NA,0.708,NA,NA,1.67182590282285,0.379045201653519,0.795541129003685,0.361077159000838,0.788632270250365,0.624673444751132,0.856782864342713,0.349882352941176,0.639953542392567,0.358443708609272,0.669481302774427,0.526944226237235
"MAGI1","human_marmoset","Pvalb","MAGI1",0.848,0.899,NA,0.696,0.798,NA,2.93192544568453,2.31897638450733,2.66360118218958,1.79864013581575,2.28639974571638,1.94295032462308,1,0.998235294117647,0.996515679442509,0.984271523178808,0.999396863691194,0.982875098193244
"RUNX2","human_marmoset_mouse","Pvalb","RUNX2",0.842,0.764,0.727,0.684,0.528,0.454,1.30171728799824,0.363664374515643,0.877858430680939,0.296398504024276,1.28024546707242,0.615036977249304,0.893742125157497,0.347764705882353,0.781068524970964,0.300993377483444,0.819662243667069,0.513432835820895
"ADCY1","human","Pvalb","ADCY1",0.84,NA,NA,0.68,NA,NA,1.41018915873856,0.594639235189321,0.909419551613615,0.485338081036809,0.750187316633067,0.575480171819505,0.954220915581688,0.580823529411765,0.801974448315912,0.494701986754967,0.721954161640531,0.551924587588374
"HCN1","human_mouse","Pvalb","HCN1",0.839,NA,0.854,0.678,NA,0.708,2.89860401347473,2.17523423631834,2.02474193172216,1.69752665734541,2.95342050482337,2.04504431914264,1,0.970352941176471,0.988966318234611,0.945695364238411,0.999396863691194,0.94344069128044
"DTNA","human_marmoset","Pvalb","DTNA",0.838,0.74,NA,0.676,0.48,NA,2.75689130116035,1.94738109796385,1.72245656531506,1.14795630263753,1.42449096548335,1.19625788880262,0.999160016799664,0.960470588235294,0.978513356562137,0.825496688741722,0.94270205066345,0.885624509033778
"KLF12","human_marmoset_mouse","Pvalb","KLF12",0.836,0.818,0.772,0.672,0.636,0.544,2.67854053526252,1.67644814684945,1.91293743814404,1.09164400911173,2.30075990686557,1.68999579603215,0.99790004199916,0.882941176470588,0.984901277584204,0.787417218543046,0.998190591073583,0.958523173605656
"ATRNL1","human_marmoset_mouse","Pvalb","ATRNL1",0.836,0.77,0.836,0.672,0.54,0.672,3.45497493614246,2.54923075225413,2.61547107882315,1.91868839193692,2.3019160035095,1.46611368062582,1,0.986470588235294,0.993031358885017,0.974834437086093,0.994571773220748,0.915475255302435
"ZNF804A","human_marmoset","Pvalb","ZNF804A",0.834,0.763,NA,0.668,0.526,NA,2.85177749609468,1.37027888709438,1.92233534953554,1.05391936146154,2.13961206322576,1.41484134646889,0.988660226795464,0.686117647058823,0.965156794425087,0.685099337748344,0.94270205066345,0.755695208169678
"CPLX1","human_marmoset_mouse","Pvalb","CPLX1",0.83,0.748,0.792,0.66,0.496,0.584,1.24083123992127,0.458585808075599,0.917239010469646,0.389404782585919,1.34664898220491,0.642975957294903,0.916841663166737,0.482823529411765,0.806620209059233,0.431953642384106,0.911942098914355,0.62560879811469
"FMN1","human_marmoset_mouse","Pvalb","FMN1",0.83,0.754,0.707,0.66,0.508,0.414,2.18103596402438,1.21844028856484,1.46987996700917,0.812381538314902,1.19805210530236,0.638116797821787,0.992020159596808,0.804941176470588,0.885017421602787,0.66705298013245,0.807599517490953,0.547368421052632
