gene,subclasses
ALK,Lamp5
NYAP2,Lamp5
SV2C,Lamp5
NFIB,Lamp5
CACNA2D1,Lamp5
DOCK10,Lamp5
SLC6A1,Lamp5
LAMP5,Lamp5
MCTP1,Lamp5
BCL11B,Lamp5
RIMS1,Lamp5
ADARB2,Lamp5
KIT,Lamp5
IGSF11,Lamp5
UNC5C,Lamp5
RIMBP2,Lamp5
ZNF536,Lamp5
RAB3C,Lamp5
HS3ST5,Lamp5
EGFR,Lamp5
SGCZ,Lamp5
SIPA1L1,Lamp5
DSCAML1,Lamp5
CHSY3,Lamp5
KCNN2,Lamp5
GAS7,Lamp5
DAB1,Lamp5
NFIX,Lamp5
GRIK2,Lamp5
CNR1,Sncg
CXCL14,Sncg
SHISA9,Sncg
MAML3,Sncg
NRXN1,Sncg
NPAS3,Sncg
PCSK2,Sncg
ADARB2,Sncg
RGS12,Sncg
CHRNA7,Sncg
ARPP21,Sncg
INPP4B,Sncg
KCNQ5,Sncg
DAB1,Sncg
DSCAM,Sncg
MAGI3,Sncg
GABRA2,Sncg
DSCAM,Vip
PROX1,Vip
KCNT2,Vip
SOBP,Vip
SLC24A3,Vip
NRXN1,Vip
ARPP21,Vip
SYNPR,Vip
LRFN2,Vip
ADARB2,Vip
VWC2L,Vip
NR3C2,Vip
SORCS3,Vip
NFIB,Vip
EGFR,Vip
PTPRZ1,Vip
SDK1,Vip
AKT3,Vip
PDE4B,Vip
MAGI3,Vip
DPF3,Vip
NPY,Sst Chodl
CRHBP,Sst Chodl
MPPED2,Sst Chodl
SOX6,Sst Chodl
SST,Sst Chodl
RIT2,Sst Chodl
NOS1,Sst Chodl
MAML2,Sst Chodl
RUNX1T1,Sst Chodl
TRPC6,Sst Chodl
NELL1,Sst Chodl
PLCB1,Sst Chodl
BCL11A,Sst Chodl
TACR1,Sst Chodl
SCN9A,Sst Chodl
DGKG,Sst Chodl
TOX,Sst Chodl
GRIK1,Sst Chodl
UTRN,Sst Chodl
BRINP3,Sst Chodl
SRGAP1,Sst Chodl
PCSK2,Sst Chodl
CHODL,Sst Chodl
FAM46A,Sst Chodl
PAM,Sst Chodl
PTPRT,Sst Chodl
CACNA1E,Sst Chodl
BCL11B,Sst Chodl
FAT3,Sst Chodl
CHRM2,Sst Chodl
STAC,Sst Chodl
KCNB2,Sst Chodl
UNC5D,Sst Chodl
CADM1,Sst Chodl
AFF2,Sst Chodl
KLF5,Sst Chodl
SYT4,Sst Chodl
ACACA,Sst Chodl
XYLT1,Sst Chodl
LHFPL3,Sst Chodl
NAV3,Sst Chodl
GRK5,Sst Chodl
GABRB1,Sst Chodl
NKAIN3,Sst Chodl
GABRA2,Sst Chodl
RALYL,Sst Chodl
GABRG1,Sst Chodl
CELF4,Sst Chodl
OPCML,Sst Chodl
NCAM2,Sst Chodl
PDE1A,Sst Chodl
GRIA1,Sst Chodl
NTN1,Sst Chodl
PTPRD,Sst Chodl
STXBP6,Sst
TRHDE,Sst
SST,Sst
GRIA3,Sst
RBFOX1,Sst
KIAA1217,Sst
SATB1,Sst
RALYL,Sst
CTNND2,Sst
SLC24A2,Sst
RUNX1T1,Sst
PCDH11X,Sst
OXR1,Sst
CDH9,Sst
CACNA2D3,Sst
SOX6,Sst
NXPH1,Sst
BCL11A,Sst
ELAVL2,Sst
GPM6A,Sst
GRM1,Sst
KIF26B,Sst
CELF2,Sst
DLG2,Sst
PPARGC1A,Pvalb
FGF12,Pvalb
SLIT2,Pvalb
DLGAP2,Pvalb
FAM19A2,Pvalb
SPARCL1,Pvalb
BTBD11,Pvalb
TMEM132C,Pvalb
RUNX2,Pvalb
KLF12,Pvalb
ATRNL1,Pvalb
CPLX1,Pvalb
FMN1,Pvalb
SOX6,Pvalb
RNF144B,Pvalb
PRKG1,Pvalb
ERBB4,Pvalb
SLC4A4,Pvalb
ESRRG,Pvalb
ETV6,Pvalb
MYO5B,Pvalb
TRPS1,Pvalb
KCNC2,Pvalb
VWC2,Pvalb
PVALB,Pvalb
MEF2C,Pvalb
MAGI2,Pvalb
ANK1,Pvalb
LUZP1,Pvalb
LPP,Pvalb
PLXNA4,Pvalb
FAM135B,Pvalb
SLC24A2,Pvalb
KCNC1,Pvalb
KCNAB1,Pvalb
RAPGEF5,Pvalb
GABRD,Pvalb
GRIA4,Pvalb
TMEM108,Pvalb
SCN8A,Pvalb
CEMIP,Pvalb
MGAT4C,Lamp5
EYA4,Lamp5
SPHKAP,Lamp5
UNC5D,Lamp5
PDGFD,Lamp5
NXPH2,Lamp5
TRPC3,Lamp5
CDHR3,Lamp5
PRELID2,Lamp5
COBL,Lamp5
TMEM132B,Lamp5
CDK14,Lamp5
FREM1,Lamp5
GRIP1,Lamp5
ST6GAL2,Lamp5
AP1S2,Lamp5
ABI1,Lamp5
DPY19L1,Lamp5
FAM110B,Lamp5
EXT1,Lamp5
GRIK4,Lamp5
B3GALT1,Lamp5
FAT1,Lamp5
RBMS3,Lamp5
LSAMP,Lamp5
EEPD1,Lamp5
KCNIP1,Lamp5
SCAI,Lamp5
TNR,Lamp5
PMEPA1,Lamp5
KIAA1109,Lamp5
MTUS2,Lamp5
ATP8A2,Lamp5
CSMD3,Lamp5
KCNAB1,Lamp5
BCL2,Lamp5
GOLIM4,Lamp5
GABRB3,Lamp5
KIRREL3,Lamp5
HECW2,Lamp5
CNTNAP4,Lamp5
PAPSS2,Lamp5
KCNH5,Lamp5
DOCK9,Lamp5
SLC35F1,Lamp5
GNG4,Lamp5
ARID5B,Lamp5
DOCK3,Lamp5
ETV1,Lamp5
BRINP2,Lamp5
TOX,Lamp5
SGMS1,Lamp5
ADAMTSL3,Lamp5
FLRT2,Lamp5
B3GALT2,Lamp5
FMNL2,Lamp5
PDGFRA,Lamp5
ANKRD55,Lamp5
ANKRD6,Lamp5
SNCAIP,Lamp5
DDR2,Lamp5
ARHGAP31,Lamp5
FSTL5,Lamp5
OCA2,Lamp5
PHYHIPL,Lamp5
LRRC7,Lamp5
UNC13C,Lamp5
GABRA5,Lamp5
DGKD,Lamp5
FUT9,Lamp5
AMMECR1,Lamp5
MPPED1,Lamp5
CCSER1,Lamp5
PKP2,Lamp5
NECAB2,Lamp5
PKNOX2,Lamp5
TENM4,Lamp5
7-Sep,Lamp5
LTBP1,Lamp5
TMTC2,Lamp5
UBASH3B,Lamp5
SEMA6A,Lamp5
ATXN7L1,Lamp5
PDE8B,Lamp5
DNAH6,Lamp5
BMPER,Lamp5
NRCAM,Lamp5
PKP4,Lamp5
KCNC2,Lamp5
MSI2,Lamp5
SLC1A1,Lamp5
LINGO2,Sncg
CCDC85A,Sncg
ADRA1A,Sncg
CNTNAP4,Sncg
CHL1,Sncg
SIPA1L2,Sncg
